set,course,specialization,type
Spring Elective Set 3,Analytics & Machine Learning for Managers,Healthcare,N
Spring Elective Set 3,Analytics & Machine Learning for Managers,Management of Technology and Operations,N
Spring Elective Set 4,Foundations of Fintech,Finance,N
Spring Elective Set 4,Foundations of Fintech,FinTech,N
Spring Elective Set 4,Sustainability for Competitive Advantage*,Leadership and Change Management,N
Spring Elective Set 4,Sustainability for Competitive Advantage*,Sustatainable Business and Innovation,N
Spring Elective Set 4,Sustainability for Competitive Advantage*,Strategy,S1
Spring Elective Set 4,Pricing,Brand Management,N
Spring Elective Set 4,Pricing,Marketing,N
Spring Elective Set 4,Pricing,Management of Technology and Operations,N
Spring Elective Set 4,Foundations of Entrepreneurship*,Entrepreneurship and Innovation,N
Spring Elective Set 4,Foundations of Entrepreneurship*,Management,N
Spring Elective Set 4,Foundations of Entrepreneurship*,Strategy,S1
Spring Elective Set 5,Corporate Finance (Spring),Corporate Finance,N
Spring Elective Set 5,Corporate Finance (Spring),Finance,N
Spring Elective Set 5,Consulting Practice: Process and Problem Solving,Management,N
Spring Elective Set 5,Consulting Practice: Process and Problem Solving,Strategy,S1
Spring Elective Set 5,Global Strategy,Global Business,N
Spring Elective Set 5,Global Strategy,Management,N
Spring Elective Set 5,Global Strategy,Strategy,S1
Summer Elective Set 1,Global Immersion Experience II (Summer),Global Business,N
Summer Elective Set 1,"Collaboration, Conflict and Negotiation (Summer)",Leadership and Change Management,N
Summer Elective Set 1,"Collaboration, Conflict and Negotiation (Summer)",Management,N
Summer Elective Set 1,Conquering High Stakes Communication (Summer),Leadership and Change Management,N
Summer Elective Set 2,Innovation and Design,Brand Management,N
Summer Elective Set 2,Innovation and Design,Entrepreneurship and Innovation,N
Summer Elective Set 2,Innovation and Design,Marketing,N
Summer Elective Set 2,Innovation and Design,Strategy,S2
Summer Elective Set 2,"Digital Marketing Strategy in Practice (Formerly ""Social Media and Mobile Technology"")",Brand Management,N
Summer Elective Set 2,"Digital Marketing Strategy in Practice (Formerly ""Social Media and Mobile Technology"")","Entertainment, Media, and Technology",N
Summer Elective Set 2,"Digital Marketing Strategy in Practice (Formerly ""Social Media and Mobile Technology"")",Healthcare,N
Summer Elective Set 2,"Digital Marketing Strategy in Practice (Formerly ""Social Media and Mobile Technology"")",Marketing,N
Summer Elective Set 2,Leading in the Age of AI,Leadership and Change Management,N
Summer Elective Set 2,Leading in the Age of AI,Management,N
Summer Elective Set 2,Leading in the Age of AI,Management of Technology and Operations,N
Summer Elective Set 2,Business Drivers,Strategy,S1
Summer Elective Set 3,Valuation,Banking,N
Summer Elective Set 3,Valuation,Corporate Finance,N
Summer Elective Set 3,Valuation,Finance,N
Summer Elective Set 3,Valuation,Financial Instruments and Markets,N
Summer Elective Set 3,Entertainment and Media Industries*,"Entertainment, Media, and Technology",N
Summer Elective Set 3,Entertainment and Media Industries*,Marketing,N
Summer Elective Set 3,Entertainment and Media Industries*,Strategy,S2
Summer Elective Set 3,Advanced Corporate Strategy,Management,N
Summer Elective Set 3,Advanced Corporate Strategy,Strategy,S1
Summer Elective Set 3,Power and Professional Influence,Leadership and Change Management,N
Summer Elective Set 3,Power and Professional Influence,Management,N
