set,course,specialization,strategy_type,course_required
Summer Elective Set 2,"Digital Marketing Strategy in Practice (Formerly ""Social Media and Mobile Technology"")","Entertainment, Media, and Technology",N,N
Summer Elective Set 2,"Digital Marketing Strategy in Practice (Formerly ""Social Media and Mobile Technology"")",Marketing,N,N
Summer Elective Set 2,Leading in the Age of AI,Artificial Intelligence,N,N
Summer Elective Set 2,Leading in the Age of AI,Leadership and Change Management,N,N
Summer Elective Set 2,Leading in the Age of AI,Management,N,N
Summer Elective Set 2,Leading in the Age of AI,Management of Technology and Operations,N,N
Summer Elective Set 2,Business Drivers,Strategy,S1,N
Summer Elective Set 3,Valuation,Banking,N,N
Summer Elective Set 3,Valuation,Corporate Finance,N,N
Summer Elective Set 3,Valuation,Finance,N,N
Summer Elective Set 3,Valuation,Financial Instruments and Markets,N,N
Summer Elective Set 3,Digital Strategy in the Age of AI,"Entertainment, Media, and Technology",N,N
Summer Elective Set 3,Digital Strategy in the Age of AI,FinTech,N,N
Summer Elective Set 3,Digital Strategy in the Age of AI,Management of Technology and Operations,N,N
Summer Elective Set 3,Digital Strategy in the Age of AI,Strategy,S2,N
Summer Elective Set 3,Advanced Corporate Strategy,Management,N,N
Summer Elective Set 3,Advanced Corporate Strategy,Strategy,S1,N
Summer Elective Set 3,Power and Professional Influence,Leadership and Change Management,N,N
Summer Elective Set 3,Power and Professional Influence,Management,N,N
